token_address,pool_address
0x8E870D67F660D95d5be530380D0eC0bd388289E1,0x598e7A017dAce2534Bc3F7496124C89425b1E165
0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D,0x81FbEf4704776cc5bBa0A5dF3a90056d2C6900B3
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x3fd4Cf9303c4BC9E13772618828712C8EaC7Dd2F
0xE41d2489571d322189246DaFA5ebDe1F4699F498,0xc6F348dd3B91a56D117ec0071C1e9b83C0996De4
0x4F9254C83EB525f9FCf346490bbb3ed28a81C667,0x75201d546585ed4190BB5c7F0Ae4F48dFe1b0c62
0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,0x2d6f06e6f3bE6711D24f266De06F7872800f4a15
0x9992eC3cF6A55b00978cdDF2b27BC6882d88D1eC,0xc03C6f5d6C5Bf2959a4E74e10fD916b5B50BF102
0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x3dd49f67E9d5Bc4C5E6634b3F70BfD9dc1b6BD74
0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,0x3aACfbC97573ED2f57F3FeeDbacc99c52CDEEab6
0xba9d4199faB4f26eFE3551D490E3821486f135Ba,0x8D9B9e25b208CAC58415d915898c2ffa3A530aa1
0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,0x88D97d199b9ED37C29D846d00D443De980832a22
0xB4EFd85c19999D84251304bDA99E90B92300Bd93,0x70EA56e46266f0137BAc6B75710e3546f47C855D
0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,0xb5F790A03b7559312D9e738df5056A4b4c8459F4
0x3597bfD533a99c9aa083587B074434E61Eb0A258,0x9a632cD9cB44F9383BF6f3117056c2455b30a6E0
0x111111111117dC0aa78b770fA6A738034120C302,0x26aAd2da94C59524ac0D93F6D6Cbf9071d7086f2
0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,0x4042A04c54eF133aC2a3C93DB69d43C6C02a330b
0x956F47F50A910163D8BF957Cf5846D573E7f87CA,0x94B0A3d511b6EcDb17eBF877278Ab030acb0A878
